numerical__CGPA,numerical__AptitudeTestScore,Cluster,Distance_From_Centroid,Outlier
8.58,100,1,0.8899225090278124,False
5.49,36,2,0.45602019831012464,False
8.43,86,1,0.11258159530743976,False
8.53,79,1,0.294311763779116,False
5.83,47,2,0.2520663561111727,False
6.59,64,0,0.27719278164938405,False
8.08,79,1,0.37784617773855245,False
8.31,88,1,0.23106482842067216,False
5.99,57,2,0.7761060878347894,False
5.81,37,2,0.4350315212717929,False
9.13,86,1,0.6057516307390837,False
8.65,87,1,0.26254780146391177,False
6.78,56,0,0.4571206588272613,False
8.41,64,1,1.0970457138159513,True
8.49,82,1,0.132437739299541,False
6.29,47,2,0.5947096965774333,False
4.52,47,2,0.881491417580505,False
8.36,69,1,0.8233684868820872,False
6.57,40,2,0.8349073484571337,False
8.31,83,1,0.09089773562706577,False
8.06,77,1,0.47298108071883915,False
6.46,86,0,1.2645094052309664,True
5.42,31,2,0.7360397014446488,False
6.14,47,2,0.4776914168633112,False
8.7,88,1,0.32912458107642545,False
5.71,44,2,0.10234002624809682,False
5.92,43,2,0.28065517343776675,False
7.11,71,0,0.4094451266898603,False
6.38,55,0,0.6680581504235458,False
8.83,78,1,0.48134787024020914,False
7.91,83,1,0.40220135245908495,False
5.81,49,2,0.3211110437928784,False
8.26,85,1,0.12581425838143906,False
8.8,70,1,0.8345597159697246,False
6.87,83,0,1.0416748244537786,False
5.15,35,2,0.6164131583961356,False
5.95,45,2,0.30064390957975334,False
8.54,73,1,0.6142060959648264,False
7.93,82,1,0.3975796522271785,False
5.0,37,2,0.6188600159239528,False
5.79,31,2,0.7426570383405019,False
7.17,46,0,1.008074944508072,False
8.58,84,1,0.14753995929532512,False
5.77,46,2,0.18036060865921638,False
8.92,76,1,0.6106054369329761,False
7.48,86,1,0.7568435839041491,False
5.68,45,2,0.08911523159343165,False
8.38,100,1,0.8777428058009906,False
7.26,66,0,0.28970476221110975,False
9.11,98,1,0.9619914615122712,False
7.41,62,0,0.40657262523969584,False
8.74,74,1,0.6148974341375149,False
7.53,65,0,0.4917068101056829,False
5.55,37,2,0.3955729721628374,False
5.66,67,0,1.0477885340953788,False
4.89,47,2,0.5869802696741129,False
7.79,91,1,0.6274280298960763,False
7.13,88,1,1.0570858282129336,False
8.83,84,1,0.35126519378741855,False
8.81,83,1,0.3394283117031777,False
7.31,52,0,0.728839955703588,False
7.39,67,0,0.40861429379544423,False
7.12,49,0,0.8387850243786009,False
5.84,54,2,0.5766351464816146,False
5.8,39,2,0.3343704744090555,False
7.33,72,0,0.5452386171309652,False
8.31,86,1,0.1314842563211197,False
7.73,81,1,0.5694201552329827,False
8.89,81,1,0.43267142194460656,False
6.05,50,2,0.49496094400703544,False
7.28,51,0,0.7694572850396877,False
8.63,88,1,0.28911653461488857,False
6.2,75,0,0.8462198930262232,False
5.51,37,2,0.3992549510914498,False
6.31,55,0,0.7076032589817127,False
5.2,45,2,0.31691495740865955,False
6.55,40,2,0.8192521788471838,False
8.02,89,1,0.4130066839010661,False
8.91,90,1,0.530796752604381,False
7.73,58,0,0.7309110826596591,False
8.63,91,1,0.4276344175669261,False
5.09,28,2,0.9755281455296271,False
8.63,86,1,0.21791173744193765,False
8.64,94,1,0.5826176846045324,False
6.4,58,0,0.5440858729494678,False
8.41,93,1,0.49373609148459313,False
8.38,80,1,0.21994437405909806,False
5.09,50,2,0.5140264665240003,False
5.54,32,2,0.669798922835634,False
6.43,66,0,0.42165476842301947,False
7.72,86,1,0.5640455109971364,False
5.65,42,2,0.13140332485452358,False
5.16,63,2,1.0881815656855347,True
8.44,97,1,0.7138400120926948,False
8.23,96,1,0.6724497382709083,False
5.19,43,2,0.3285397329188991,False
7.18,79,0,0.8459853524140637,False
5.25,60,2,0.9090051707099489,False
7.17,74,0,0.580746126325739,False
6.62,74,0,0.6024462920787776,False
7.24,78,0,0.8067979493822133,False
7.24,54,0,0.6053188882238352,False
7.13,62,0,0.19727925801677454,False
7.43,64,0,0.4073321327191789,False
5.22,57,2,0.7628743077408762,False
9.09,86,1,0.5737249410690622,False
5.81,55,2,0.6204577736425084,False
7.65,76,1,0.7516890733998153,False
7.01,60,0,0.23041795862722955,False
7.81,79,1,0.5527663862744966,False
7.58,65,0,0.5322308210514156,False
5.43,37,2,0.4142856566104657,False
6.96,70,0,0.32836754547724883,False
